"Gene","Gene.symbol"
"ENSG00000146223","RPL7L1"
"ENSG00000280987","MATR3"
"ENSG00000268434","AC011530.1"
"ENSG00000162600","OMA1"
"ENSG00000101161","PRPF6"
"ENSG00000198791","CNOT7"
"ENSG00000171307","ZDHHC16"
"ENSG00000100320","RBFOX2"
"ENSG00000176125","UFSP1"
"ENSG00000084112","SSH1"
"ENSG00000100373","UPK3A"
"ENSG00000256100","AP000721.1"
"ENSG00000172171","TEFM"
"ENSG00000121940","CLCC1"
"ENSG00000115649","CNPPD1"
"ENSG00000173482","PTPRM"
"ENSG00000145833","DDX46"
"ENSG00000163064","EN1"
"ENSG00000144791","LIMD1"
"ENSG00000172809","RPL38"
"ENSG00000083099","LYRM2"
"ENSG00000116138","DNAJC16"
"ENSG00000143337","TOR1AIP1"
"ENSG00000176386","CDC26"
"ENSG00000088448","ANKRD10"
"ENSG00000183631","PRR32"
"ENSG00000156256","USP16"
"ENSG00000159692","CTBP1"
"ENSG00000141646","SMAD4"
"ENSG00000115290","GRB14"
"ENSG00000259112","NDUFC2-KCTD14"
"ENSG00000173418","NAA20"
"ENSG00000243414","TICAM2"
"ENSG00000260371","AC026464.3"
"ENSG00000118197","DDX59"
"ENSG00000170515","PA2G4"
"ENSG00000171763","SPATA5L1"
"ENSG00000130638","ATXN10"
"ENSG00000186591","UBE2H"
"ENSG00000186566","GPATCH8"
"ENSG00000167657","DAPK3"
"ENSG00000254858","MPV17L2"
"ENSG00000165898","ISCA2"
"ENSG00000049618","ARID1B"
"ENSG00000144746","ARL6IP5"
"ENSG00000151461","UPF2"
"ENSG00000135974","C2orf49"
"ENSG00000111371","SLC38A1"
"ENSG00000155393","HEATR3"
"ENSG00000170776","AKAP13"
"ENSG00000167280","ENGASE"
"ENSG00000182484","WASH6P"
"ENSG00000141232","TOB1"
"ENSG00000173757","STAT5B"
"ENSG00000205221","VIT"
"ENSG00000092208","GEMIN2"
"ENSG00000065000","AP3D1"
"ENSG00000159267","HLCS"
"ENSG00000176261","ZBTB8OS"
"ENSG00000216921","FAM240C"
"ENSG00000077044","DGKD"
"ENSG00000204922","UQCC3"
"ENSG00000135407","AVIL"
"ENSG00000157600","TMEM164"
"ENSG00000011566","MAP4K3"
"ENSG00000114023","FAM162A"
"ENSG00000120533","ENY2"
"ENSG00000122034","GTF3A"
"ENSG00000183762","KREMEN1"
"ENSG00000125970","RALY"
"ENSG00000172000","ZNF556"
"ENSG00000124615","MOCS1"
"ENSG00000169047","IRS1"
"ENSG00000112394","SLC16A10"
"ENSG00000010803","SCMH1"
"ENSG00000172493","AFF1"
"ENSG00000113580","NR3C1"
"ENSG00000184924","PTRHD1"
"ENSG00000121440","PDZRN3"
"ENSG00000117748","RPA2"
"ENSG00000048392","RRM2B"
"ENSG00000186298","PPP1CC"
"ENSG00000006459","KDM7A"
"ENSG00000037965","HOXC8"
"ENSG00000124098","FAM210B"
"ENSG00000242114","MTFP1"
"ENSG00000120733","KDM3B"
"ENSG00000182208","MOB2"
"ENSG00000274750","H3C6"
"ENSG00000103194","USP10"
"ENSG00000130640","TUBGCP2"
"ENSG00000120913","PDLIM2"
"ENSG00000101882","NKAP"
"ENSG00000119878","CRIPT"
"ENSG00000196391","ZNF774"
"ENSG00000198517","MAFK"
"ENSG00000175931","UBE2O"
"ENSG00000131626","PPFIA1"
"ENSG00000283776","TAF11L13"
"ENSG00000160799","CCDC12"
"ENSG00000272772","AC104109.3"
"ENSG00000115946","PNO1"
"ENSG00000058729","RIOK2"
"ENSG00000162396","PARS2"
"ENSG00000102870","ZNF629"
"ENSG00000106524","ANKMY2"
"ENSG00000165792","METTL17"
"ENSG00000271601","LIX1L"
"ENSG00000115839","RAB3GAP1"
"ENSG00000157020","SEC13"
"ENSG00000112679","DUSP22"
"ENSG00000198522","GPN1"
"ENSG00000106246","PTCD1"
"ENSG00000270647","TAF15"
"ENSG00000115053","NCL"
"ENSG00000256977","LIMS3"
"ENSG00000117505","DR1"
"ENSG00000113141","IK"
"ENSG00000122481","RWDD3"
"ENSG00000106302","HYAL4"
"ENSG00000132849","PATJ"
"ENSG00000104517","UBR5"
"ENSG00000171819","ANGPTL7"
"ENSG00000253293","HOXA10"
"ENSG00000147316","MCPH1"
"ENSG00000112640","PPP2R5D"
"ENSG00000109063","MYH3"
"ENSG00000104365","IKBKB"
"ENSG00000197448","GSTK1"
"ENSG00000213366","GSTM2"
"ENSG00000116663","FBXO6"
"ENSG00000135063","FAM189A2"
"ENSG00000069956","MAPK6"
"ENSG00000143771","CNIH4"
"ENSG00000170653","ATF7"
"ENSG00000100380","ST13"
"ENSG00000072195","SPEG"
"ENSG00000142327","RNPEPL1"
"ENSG00000138399","FASTKD1"
"ENSG00000085511","MAP3K4"
"ENSG00000113296","THBS4"
"ENSG00000105677","TMEM147"
"ENSG00000123143","PKN1"
"ENSG00000140382","HMG20A"
"ENSG00000100294","MCAT"
"ENSG00000127837","AAMP"
"ENSG00000065833","ME1"
"ENSG00000100784","RPS6KA5"
"ENSG00000118939","UCHL3"
"ENSG00000180787","ZFP3"
"ENSG00000126749","EMG1"
"ENSG00000286221","AC009070.1"
"ENSG00000146477","SLC22A3"
"ENSG00000142252","GEMIN7"
"ENSG00000238227","TMEM250"
"ENSG00000285920","AC087721.2"
"ENSG00000058799","YIPF1"
"ENSG00000163026","WDCP"
"ENSG00000142687","KIAA0319L"
"ENSG00000115758","ODC1"
"ENSG00000069248","NUP133"
"ENSG00000162604","TM2D1"
"ENSG00000110801","PSMD9"
"ENSG00000204290","BTNL2"
"ENSG00000183208","GDPGP1"
"ENSG00000173546","CSPG4"
"ENSG00000129353","SLC44A2"
"ENSG00000138760","SCARB2"
"ENSG00000206549","AC109583.1"
"ENSG00000129824","RPS4Y1"
"ENSG00000076716","GPC4"
"ENSG00000103061","SLC7A6OS"
"ENSG00000119772","DNMT3A"
"ENSG00000270249","AC093668.1"
"ENSG00000129292","PHF20L1"
"ENSG00000047621","C12orf4"
"ENSG00000284969","AL049629.2"
"ENSG00000116199","FAM20B"
"ENSG00000180730","SHISA2"
"ENSG00000149269","PAK1"
"ENSG00000080561","MID2"
"ENSG00000071189","SNX13"
"ENSG00000177700","POLR2L"
"ENSG00000005100","DHX33"
"ENSG00000143127","ITGA10"
"ENSG00000119508","NR4A3"
"ENSG00000170631","ZNF16"
"ENSG00000085063","CD59"
"ENSG00000177971","IMP3"
"ENSG00000148357","HMCN2"
"ENSG00000115484","CCT4"
"ENSG00000162434","JAK1"
"ENSG00000171606","ZNF274"
"ENSG00000147650","LRP12"
"ENSG00000170584","NUDCD2"
"ENSG00000167528","ZNF641"
"ENSG00000275111","ZNF2"
"ENSG00000124444","ZNF576"
"ENSG00000105552","BCAT2"
"ENSG00000162714","ZNF496"
"ENSG00000182149","IST1"
"ENSG00000174891","RSRC1"
"ENSG00000139330","KERA"
"ENSG00000173867","AC013489.1"
"ENSG00000140992","PDPK1"
"ENSG00000164054","SHISA5"
"ENSG00000103671","TRIP4"
"ENSG00000167766","ZNF83"
"ENSG00000108599","AKAP10"
"ENSG00000132254","ARFIP2"
"ENSG00000103489","XYLT1"
"ENSG00000075624","ACTB"
"ENSG00000101310","SEC23B"
"ENSG00000143315","PIGM"
"ENSG00000164808","SPIDR"
"ENSG00000155304","HSPA13"
"ENSG00000166997","CNPY4"
"ENSG00000178700","DHFR2"
"ENSG00000145685","LHFPL2"
"ENSG00000087448","KLHL42"
"ENSG00000173950","XXYLT1"
"ENSG00000183161","FANCF"
"ENSG00000006715","VPS41"
"ENSG00000111786","SRSF9"
"ENSG00000148481","MINDY3"
"ENSG00000131171","SH3BGRL"
"ENSG00000111530","CAND1"
"ENSG00000129480","DTD2"
"ENSG00000113391","FAM172A"
"ENSG00000213983","AP1G2"
"ENSG00000198890","PRMT6"
"ENSG00000286140","DERPC"
"ENSG00000267680","ZNF224"
"ENSG00000253352","TUG1"
"ENSG00000187815","ZFP69"
